datetime,spot_price,fcr_price,revenue_full_da,target_fcr_price,success_fcr_bid,real_power,real_market_dispatch,real_opening_capacity,real_revenue
2024-05-31 17:15:00,81.0,52.0,-20.25,32.62552521929823,False,-1.0,-0.25,1.7625,-20.25
2024-05-31 17:30:00,99.2,52.0,0.0,32.62552521929823,False,0.0,0.0,2.0,0.0
2024-05-31 17:45:00,109.2,52.0,25.935,32.62552521929823,False,1.0,0.2375,2.0,25.935
2024-05-31 18:00:00,97.4,52.0,0.0,32.62552521929823,False,0.0,0.0,1.75,0.0
2024-05-31 18:15:00,95.0,52.0,0.0,32.62552521929823,False,0.0,0.0,1.75,0.0
2024-05-31 18:30:00,103.0,52.0,22.016250000000024,32.62552521929823,False,0.900000000000001,0.21375000000000025,1.75,22.016250000000024
2024-05-31 18:45:00,101.04,52.0,0.0,32.62552521929823,False,0.0,0.0,1.525,0.0
2024-05-31 19:00:00,91.7,52.0,-22.925,32.62552521929823,False,-1.0,-0.25,1.525,-22.925
2024-05-31 19:15:00,92.4,52.0,-23.1,32.62552521929823,False,-1.0,-0.25,1.7625,-23.1
2024-05-31 19:30:00,110.0,52.0,26.125,32.62552521929823,False,1.0,0.2375,2.0,26.125
2024-05-31 19:45:00,134.95,52.0,32.050625,32.62552521929823,False,1.0,0.2375,1.75,32.050625
2024-05-31 20:00:00,127.49,40.0,30.278874999999996,32.62552521929823,False,1.0,0.2375,1.5,30.278874999999996
2024-05-31 20:15:00,113.5,40.0,26.956249999999997,32.62552521929823,False,1.0,0.2375,1.25,26.956249999999997
2024-05-31 20:30:00,125.96,40.0,29.915499999999998,32.62552521929823,False,1.0,0.2375,1.0,29.915499999999998
2024-05-31 20:45:00,113.5,40.0,26.956249999999997,32.62552521929823,False,1.0,0.2375,0.75,26.956249999999997
2024-05-31 21:00:00,134.97,40.0,32.055375,32.62552521929823,False,1.0,0.2375,0.5,32.055375
2024-05-31 21:15:00,110.0,40.0,24.818749999999998,32.62552521929823,False,0.95,0.225625,0.25,24.818749999999998
2024-05-31 21:30:00,103.99,40.0,0.0,32.62552521929823,False,0.0,0.0,0.0125,0.0
2024-05-31 21:45:00,81.1,40.0,-20.275,32.62552521929823,False,-1.0,-0.25,0.0125,-20.275
2024-05-31 22:00:00,134.94,40.0,32.048249999999996,32.62552521929823,False,1.0,0.2375,0.25,32.048249999999996
2024-05-31 22:15:00,95.6,40.0,-5.031578947368405,32.62552521929823,False,-0.210526315789473,-0.05263157894736825,0.0,-5.031578947368405
2024-05-31 22:30:00,94.98,40.0,-23.745,32.62552521929823,False,-1.0,-0.25,0.0499999999999999,-23.745
2024-05-31 22:45:00,70.6,40.0,-17.65,32.62552521929823,False,-1.0,-0.25,0.2875,-17.65
